district,male,female,total
Bulawayo,307871,358081,665952
Bulawayo,307983,357957,665940
Manicaland,965350,1072353,2037703
Buhera,125773,146147,271920
Chimanimani,73240,80380,153620
Chipinge Rural,174307,200952,375259
Makoni,140629,147815,288444
Mutare Rural,147046,159714,306760
Mutasa,93955,103855,197810
Nyanga Rural,70432,75850,146282
Mutare,106602,118200,224802
Rusape,17668,20238,37906
Chipinge Urban,15880,19079,34959
Mashonaland Central,681246,703645,1384891
Bindura Rural,84080,85761,169841
Muzarabani,66521,67555,134076
Guruve,75670,77932,153602
Mazowe,145777,147585,293362
Mount Darwin,118021,122706,240727
Rushinga,37062,39818,76880
Shamva,81147,84494,165641
Mbire,41014,42710,83724
Bindura Urban,24616,26777,51393
Mvurwi,7405,8240,15645
Mashonaland East,835092,896081,1731173
Chikomba,59030,64907,123937
Goromonzi,187193,199006,386199
Hwedza,36486,38383,74869
Marondera Rural,68180,67993,136173
Mudzi,76387,82096,158483
Murehwa,97564,107878,205442
Mutoko,77610,83481,161091
Seke,97569,102907,200476
Uzumba Maramba Pfungwe (UMP),59944,64281,124225
Marondera,30812,35391,66203
Ruwa Local Board,44489,49594,94083
Mashonaland West,934640,958944,1893584
Chegutu Rural,89623,89283,178906
Hurungwe,194930,195977,390907
Mhondoro Ngezi,71605,69386,140991
Kariba Rural,22527,23247,45774
Makonde,106296,103651,209947
Zvimba,172019,175981,347994
Sanyati,70202,69031,139233
Chinhoyi Urban,48462,55209,103671
Kadoma,55726,61654,117380
Chegutu Urban,31376,34882,66258
Kariba Urban,13688,14221,27909
Norton,41002,46036,87038
Karoi,17365,20199,37564
Matabeleland North,400013,427632,827645
Binga,72393,87589,159982
Bubi,39063,35021,74084
Hwange Rural,33696,35661,69357
Lupane,51128,56117,107245
Nkayi,54141,58330,112471
Tsholotsho,53846,61936,115782
Umguza,59144,54121,113265
Hwange Urban,20114,20127,40241
Victoria Falls,16663,18536,35199
Matabeleland South,370517,389828,760345
Beitbridge Rural,44358,49642,94000
Bulilima,39520,46080,85600
Mangwe,31067,34495,65562
Gwanda,61600,62948,124548
Insiza,62124,60779,122903
Matobo,47124,48572,95696
Umzingwane,36984,34876,71860
Gwanda Urban,12773,14370,27143
Beitbridge,28465,30109,58574
Plumtree,6698,7761,14459
Midlands,870430,941475,1811905
Chirumhanzu,45589,49683,95272
Gokwe North,119879,129844,249723
Gokwe South,151782,165771,317553
Gweru Rural,60433,61279,121712
Kwekwe Rural,98794,98269,197063
Mberengwa,99328,109130,208458
Shurugwi Rural,48609,49706,98315
Zvishavane Rural,41298,43737,85035
Gweru Urban,74445,86847,161292
Kwekwe Urban,56571,63292,119863
Redcliff,19411,22115,41526
Zvishavane Urban,28215,31502,59717
Gokwe Centre,14933,18142,33075
Shurugwi Urban,11377,11927,23304
Masvingo,763413,875115,1638528
Bikita,80844,95991,176835
Chiredzi Rural,146516,156987,303503
Chivi,79556,93423,172979
Gutu,95842,112318,208160
Masvingo Rural,112557,125546,238103
Mwenezi,97013,112314,209327
Zaka,90910,107979,198889
Masvingo Urban,41321,48965,90286
Chiredzi Urban,18978,21479,40457
Harare,1159350,1267881,2427231
Harare Rural,174604,183256,357860
Harare Urban,710160,781580,1491740
Chitungwiza,173495,197749,371244
Epworth,101284,105081,206365
